log_prob_true,time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,log_px_z,kl_z,elbo,objective,time_forward
-5.606074333190918,5.023097991943359,10.127197265625,-10.127197265625,5.486876010894775,10.127197265625,-10.127197265625,45,919,,,,,,,,,,,
-5.606074333190918,4.930591583251953,10.322221755981445,-10.322221755981445,5.358852863311768,10.322221755981445,-10.322221755981445,46,939,,,,,,,,,,,
,,16.986087799072266,,,,,47,949,,,,,,,-10.568122863769531,6.417964935302734,-16.986087799072266,-16.986087799072266,5.805399417877197
-5.606074333190918,4.864311218261719,10.350830078125,-10.350830078125,5.308351039886475,10.350830078125,-10.350830078125,47,959,,,,,,,,,,,
-5.606074333190918,5.009174346923828,10.684504508972168,-10.684504508972168,5.46238374710083,10.684504508972168,-10.684504508972168,48,979,,,,,,,,,,,
,,16.772520065307617,,,,,49,999,,,,,,,-10.505712509155273,6.266808986663818,-16.772520065307617,-16.772520065307617,12.824640274047852
-5.606074333190918,5.976963043212891,10.687196731567383,-10.687196731567383,6.410848140716553,10.6871976852417,-10.6871976852417,49,999,,,,,,,,,,,
-5.606074333190918,4.648494720458984,10.325663566589355,-10.325663566589355,5.173576831817627,10.325663566589355,-10.325663566589355,50,1019,,,,,,,,,,,
-5.606074333190918,5.164146423339844,9.740732192993164,-9.740732192993164,5.609714984893799,9.74073314666748,-9.74073314666748,51,1039,40.53535079956055,0.028523564338684082,-4.8795671463012695,-0.7317014932632446,40.53535079956055,0.028523564338684082,,,,,
,,16.466976165771484,,,,,52,1049,,,,,,,-10.010054588317871,6.456920623779297,-16.466976165771484,-16.466976165771484,5.9157609939575195
-5.606074333190918,4.745769500732422,9.71957015991211,-9.71957015991211,5.272676467895508,9.71957015991211,-9.71957015991211,52,1059,,,,,,,,,,,
-5.606074333190918,4.732799530029297,10.526451110839844,-10.526451110839844,5.245719909667969,10.526451110839844,-10.526451110839844,53,1079,,,,,,,,,,,
,,17.3810977935791,,,,,54,1099,,,,,,,-11.25631332397461,6.124783515930176,-17.3810977935791,-17.3810977935791,10.59034252166748
-5.606074333190918,4.585170745849609,10.044200897216797,-10.044200897216797,5.098766326904297,10.04419994354248,-10.04419994354248,54,1099,,,,,,,,,,,
-5.606074333190918,4.508781433105469,10.003835678100586,-10.003835678100586,5.027859687805176,10.003835678100586,-10.003835678100586,55,1119,,,,,,,,,,,
-5.606074333190918,4.590702533721924,10.433806419372559,-10.433806419372559,5.133125305175781,10.433807373046875,-10.433807373046875,56,1139,,,,,,,,,,,
,,16.403240203857422,,,,,57,1149,,,,,,,-10.042684555053711,6.360555648803711,-16.403240203857422,-16.403240203857422,5.371635913848877
-5.606074333190918,4.995918273925781,10.13475227355957,-10.13475227355957,5.590569972991943,10.134753227233887,-10.134753227233887,57,1159,,,,,,,,,,,
-5.606074333190918,8.409976959228516,10.382201194763184,-10.382201194763184,8.2387056350708,10.382200241088867,-10.382200241088867,58,1179,,,,,,,,,,,
,,17.18629264831543,,,,,59,1199,,,,,,,-10.565252304077148,6.621039867401123,-17.18629264831543,-17.18629264831543,9.231269836425781
-5.606074333190918,4.655456066131592,10.151870727539062,-10.151870727539062,5.160482883453369,10.151870727539062,-10.151870727539062,59,1199,,,,,,,,,,,
-5.606074333190918,4.640102386474609,10.096498489379883,-10.096498489379883,5.149559497833252,10.096498489379883,-10.096498489379883,60,1219,,,,,,,,,,,
-5.606074333190918,5.059719085693359,10.127240180969238,-10.127240180969238,5.53641939163208,10.127240180969238,-10.127240180969238,61,1239,40.249900817871094,0.02799510955810547,-4.844635009765625,-0.7666341066360474,40.249900817871094,0.02799510955810547,,,,,
,,17.44443130493164,,,,,62,1249,,,,,,,-10.820218086242676,6.624213695526123,-17.44443130493164,-17.44443130493164,5.971174716949463
-5.606074333190918,4.7824859619140625,9.716310501098633,-9.716310501098633,5.275645732879639,9.71631145477295,-9.71631145477295,62,1259,,,,,,,,,,,
-5.606074333190918,5.760955810546875,9.83074951171875,-9.83074951171875,6.089212417602539,9.830750465393066,-9.830750465393066,63,1279,,,,,,,,,,,
,,16.426101684570312,,,,,64,1299,,,,,,,-9.851150512695312,6.574951171875,-16.426101684570312,-16.426101684570312,10.22877025604248
-5.606074333190918,5.5196757316589355,9.796562194824219,-9.796562194824219,5.931849002838135,9.796561241149902,-9.796561241149902,64,1299,,,,,,,,,,,
-5.606074333190918,4.844665050506592,10.682576179504395,-10.682576179504395,5.334497451782227,10.682577133178711,-10.682577133178711,65,1319,,,,,,,,,,,
-5.606074333190918,5.150604248046875,10.191205978393555,-10.191205978393555,5.940972805023193,10.191205024719238,-10.191205024719238,66,1339,,,,,,,,,,,
,,17.04587745666504,,,,,67,1349,,,,,,,-10.687055587768555,6.358822345733643,-17.04587745666504,-17.04587745666504,6.3721089363098145
-5.606074333190918,4.694080352783203,10.574833869934082,-10.574833869934082,5.207531452178955,10.574833869934082,-10.574833869934082,67,1359,,,,,,,,,,,
