log_prob_true,time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,time_forward
-5.606074333190918,5.934047698974609,6.105977535247803,-6.105977535247803,5.934047698974609,6.105977535247803,-6.105977535247803,0.0,0.0,0,4,,,,,,,
-5.606074333190918,5.236053466796875,6.05562686920166,-6.05562686920166,5.236053466796875,6.05562686920166,-6.05562686920166,,,1,9,21.26140594482422,0.0016196966171264648,-6.542508125305176,1.0341286659240723,21.26140594482422,0.0016196966171264648,
-5.606074333190918,4.919242858886719,6.012495040893555,-6.012495040893555,4.919242858886719,6.012495040893555,-6.012495040893555,,,2,14,,,,,,,
-5.606074333190918,5.383396148681641,5.976012229919434,-5.976012229919434,5.383396148681641,5.976012229919434,-5.976012229919434,,,3,19,,,,,,,
-5.606074333190918,5.247020721435547,5.9452409744262695,-5.9452409744262695,5.247020721435547,5.9452409744262695,-5.9452409744262695,,,4,24,,,,,,,
-5.606074333190918,5.021190643310547,5.918704509735107,-5.918704509735107,5.021190643310547,5.918704509735107,-5.918704509735107,0.0,0.0,5,29,,,,,,,
-5.606074333190918,5.600929260253906,5.896061420440674,-5.896061420440674,5.600929260253906,5.896061420440674,-5.896061420440674,,,6,34,,,,,,,
-5.606074333190918,5.837059020996094,5.876585960388184,-5.876585960388184,5.837059020996094,5.876585960388184,-5.876585960388184,,,7,39,,,,,,,
-5.606074333190918,5.2806854248046875,5.859908580780029,-5.859908580780029,5.2806854248046875,5.859908580780029,-5.859908580780029,,,8,44,,,,,,,
,,5.608553886413574,-5.608553886413574,,,,,,9,49,,,,,,,0.8462071418762207
-5.606074333190918,3.0517578125,5.845447540283203,-5.845447540283203,3.0517578125,5.845447540283203,-5.845447540283203,,,9,49,,,,,,,
-5.606074333190918,4.551792144775391,5.832797527313232,-5.832797527313232,4.551792144775391,5.832797527313232,-5.832797527313232,0.0,0.0,10,54,,,,,,,
-5.606074333190918,4.692840576171875,5.821728706359863,-5.821728706359863,4.692840576171875,5.821728706359863,-5.821728706359863,,,11,59,14.283560752868652,0.0011582374572753906,-6.12175178527832,0.4844885766506195,14.283561706542969,0.0011582374572753906,
-5.606074333190918,5.103397369384766,5.811681747436523,-5.811681747436523,5.103397369384766,5.811681747436523,-5.811681747436523,,,12,64,,,,,,,
-5.606074333190918,5.156135559082031,5.802689075469971,-5.802689075469971,5.156135559082031,5.802689075469971,-5.802689075469971,,,13,69,,,,,,,
-5.606074333190918,5.860042572021484,5.794543743133545,-5.794543743133545,5.860042572021484,5.794543743133545,-5.794543743133545,,,14,74,,,,,,,
-5.606074333190918,5.133342742919922,5.7870707511901855,-5.7870707511901855,5.133342742919922,5.7870707511901855,-5.7870707511901855,0.0,0.0,15,79,,,,,,,
-5.606074333190918,5.049610137939453,5.780229568481445,-5.780229568481445,5.049610137939453,5.780229568481445,-5.780229568481445,,,16,84,,,,,,,
-5.606074333190918,6.708621978759766,5.773784160614014,-5.773784160614014,6.708621978759766,5.773784160614014,-5.773784160614014,,,17,89,,,,,,,
-5.606074333190918,5.816555023193359,5.767956733703613,-5.767956733703613,5.816555023193359,5.767956733703613,-5.767956733703613,,,18,94,,,,,,,
,,5.477158069610596,-5.477158069610596,,,,,,19,99,,,,,,,1.7046928405761719
-5.606074333190918,5.65032958984375,5.762585163116455,-5.762585163116455,5.65032958984375,5.762585163116455,-5.762585163116455,,,19,99,,,,,,,
-5.606074333190918,5.972480773925781,5.757565021514893,-5.757565021514893,5.972480773925781,5.757565021514893,-5.757565021514893,0.0,0.0,20,104,,,,,,,
-5.606074333190918,5.9223175048828125,5.7528395652771,-5.7528395652771,5.9223175048828125,5.7528395652771,-5.7528395652771,,,21,109,16.362571716308594,0.0005310773849487305,-5.877529621124268,0.2690301835536957,16.362571716308594,0.0005310773849487305,
-5.606074333190918,5.233478546142578,5.7484846115112305,-5.7484846115112305,5.233478546142578,5.7484846115112305,-5.7484846115112305,,,22,114,,,,,,,
-5.606074333190918,3.8698196411132812,5.744541168212891,-5.744541168212891,3.8698196411132812,5.744541168212891,-5.744541168212891,,,23,119,,,,,,,
-5.606074333190918,5.596160888671875,5.740969657897949,-5.740969657897949,5.596160888671875,5.740969657897949,-5.740969657897949,,,24,124,,,,,,,
-5.606074333190918,2.744770050048828,5.737544059753418,-5.737544059753418,2.744770050048828,5.737544059753418,-5.737544059753418,0.0,0.0,25,129,,,,,,,
-5.606074333190918,5.82427978515625,5.734432220458984,-5.734432220458984,5.82427978515625,5.734432220458984,-5.734432220458984,,,26,134,,,,,,,
-5.606074333190918,6.0977935791015625,5.731698513031006,-5.731698513031006,6.0977935791015625,5.731698513031006,-5.731698513031006,,,27,139,,,,,,,
-5.606074333190918,4.028415679931641,5.729198932647705,-5.729198932647705,4.028415679931641,5.729198932647705,-5.729198932647705,,,28,144,,,,,,,
,,5.455876350402832,-5.455876350402832,,,,,,29,149,,,,,,,0.7114410400390625
-5.606074333190918,2.64129638671875,5.72705602645874,-5.72705602645874,2.64129638671875,5.72705602645874,-5.72705602645874,,,29,149,,,,,,,
-5.606074333190918,8.962821960449219,5.7251787185668945,-5.7251787185668945,8.962821960449219,5.7251787185668945,-5.7251787185668945,0.0,0.0,30,154,,,,,,,
