log_prob_true,time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,time_forward
-4.454781532287598,3.3664703369140625,6.720781326293945,-6.720781326293945,3.3664703369140625,6.720781326293945,-6.720781326293945,0.0,nan,0,4,,,,,,,
-4.454781532287598,3.5002706050872803,6.693135738372803,-6.693135738372803,3.5002708435058594,6.693135738372803,-6.693135738372803,,,1,9,20.109176635742188,0.004973292350769043,-23.27688217163086,18.824399948120117,20.109176635742188,0.004973292350769043,
-4.454781532287598,12.74566650390625,6.664954662322998,-6.664954662322998,12.74566650390625,6.664954662322998,-6.664954662322998,,,2,14,,,,,,,
-4.454781532287598,12.571239471435547,6.634428977966309,-6.634428977966309,12.571239471435547,6.634428977966309,-6.634428977966309,,,3,19,,,,,,,
-4.454781532287598,9.66939926147461,6.601296901702881,-6.601296901702881,9.66939926147461,6.601296901702881,-6.601296901702881,,,4,24,,,,,,,
-4.454781532287598,3.97796630859375,6.565154552459717,-6.565154552459717,3.97796630859375,6.565154552459717,-6.565154552459717,0.0,nan,5,29,,,,,,,
-4.454781532287598,11.94915771484375,6.526188373565674,-6.526188373565674,11.94915771484375,6.526188373565674,-6.526188373565674,,,6,34,,,,,,,
-4.454781532287598,7.353209972381592,6.485623836517334,-6.485623836517334,7.35321044921875,6.485623836517334,-6.485623836517334,,,7,39,,,,,,,
-4.454781532287598,7.371997833251953,6.444611072540283,-6.444611072540283,7.371997833251953,6.444611072540283,-6.444611072540283,,,8,44,,,,,,,
,,5.39039945602417,-5.39039945602417,,,,,,9,49,,,,,,,1.198887825012207
-4.454781532287598,7.6541900634765625,6.402573585510254,-6.402573585510254,7.6541900634765625,6.402573585510254,-6.402573585510254,,,9,49,,,,,,,
-4.454781532287598,9.504032135009766,6.356217861175537,-6.356217861175537,9.504032135009766,6.356217861175537,-6.356217861175537,0.0,nan,10,54,,,,,,,
-4.454781532287598,6.3831329345703125,6.303617000579834,-6.303617000579834,6.3831329345703125,6.303617000579834,-6.303617000579834,,,11,59,34.37013626098633,0.0018475055694580078,-18.19156837463379,13.520929336547852,34.37013626098633,0.0018475055694580078,
-4.454781532287598,8.294486999511719,6.245169639587402,-6.245169639587402,8.294486999511719,6.245169639587402,-6.245169639587402,,,12,64,,,,,,,
-4.454781532287598,7.042121887207031,6.181276798248291,-6.181276798248291,7.042121887207031,6.181276798248291,-6.181276798248291,,,13,69,,,,,,,
-4.454781532287598,11.665916442871094,6.11149787902832,-6.11149787902832,11.665916442871094,6.11149787902832,-6.11149787902832,,,14,74,,,,,,,
-4.454781532287598,11.498737335205078,6.035056114196777,-6.035056114196777,11.498737335205078,6.035056114196777,-6.035056114196777,0.0,nan,15,79,,,,,,,
-4.454781532287598,11.930465698242188,5.954560279846191,-5.954560279846191,11.930465698242188,5.954560279846191,-5.954560279846191,,,16,84,,,,,,,
-4.454781532287598,9.514427185058594,5.869372844696045,-5.869372844696045,9.514427185058594,5.869372844696045,-5.869372844696045,,,17,89,,,,,,,
-4.454781532287598,11.362552642822266,5.783048152923584,-5.783048152923584,11.362552642822266,5.783048152923584,-5.783048152923584,,,18,94,,,,,,,
,,4.717482566833496,-4.717482566833496,,,,,,19,99,,,,,,,1.750648021697998
-4.454781532287598,12.564754486083984,5.695763111114502,-5.695763111114502,12.564754486083984,5.695763111114502,-5.695763111114502,,,19,99,,,,,,,
-4.454781532287598,11.325263977050781,5.6087188720703125,-5.6087188720703125,11.325263977050781,5.6087188720703125,-5.6087188720703125,0.0,nan,20,104,,,,,,,
-4.454781532287598,11.436653137207031,5.522440433502197,-5.522440433502197,11.436653137207031,5.522440433502197,-5.522440433502197,,,21,109,27.967164993286133,0.00042259693145751953,-9.579434394836426,4.767873764038086,27.967166900634766,0.00042259693145751953,
-4.454781532287598,11.238765716552734,5.4356255531311035,-5.4356255531311035,11.238765716552734,5.4356255531311035,-5.4356255531311035,,,22,114,,,,,,,
-4.454781532287598,11.816215515136719,5.349204063415527,-5.349204063415527,11.816215515136719,5.349204063415527,-5.349204063415527,,,23,119,,,,,,,
-4.454781532287598,11.736297607421875,5.262691974639893,-5.262691974639893,11.736297607421875,5.262691974639893,-5.262691974639893,,,24,124,,,,,,,
-4.454781532287598,8.98275375366211,5.1757893562316895,-5.1757893562316895,8.98275375366211,5.1757893562316895,-5.1757893562316895,0.0,nan,25,129,,,,,,,
-4.454781532287598,12.942028045654297,5.091317176818848,-5.091317176818848,12.942028045654297,5.091317176818848,-5.091317176818848,,,26,134,,,,,,,
-4.454781532287598,8.579063415527344,5.012703895568848,-5.012703895568848,8.579063415527344,5.012703895568848,-5.012703895568848,,,27,139,,,,,,,
