log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,log_px_z,kl_z,elbo,objective,time_forward
-13.53038215637207,7.704925060272217,19.748685836791992,-19.748685836791992,-13.530383110046387,8.285650253295898,19.748682022094727,-19.748682022094727,19,399,,,,,,,,,,,,,
-13.53038215637207,7.557010650634766,18.774377822875977,-18.774377822875977,-13.530383110046387,8.160660743713379,18.77437973022461,-18.77437973022461,20,419,,,,,,,,,,,,,
-13.53038215637207,7.534217834472656,19.328792572021484,-19.328792572021484,-13.530383110046387,8.108227729797363,19.32879066467285,-19.32879066467285,21,439,141.9344940185547,0.018056273460388184,-12.360621452331543,-1.131959080696106,141.9344940185547,0.018056273460388184,-12.360621452331543,-1.131959080696106,,,,,
,,30.205150604248047,,,,,,22,449,,,,,,,,,-20.183290481567383,10.021858215332031,-30.205150604248047,-30.205150604248047,9.17492389678955
-13.53038215637207,7.639408111572266,19.792444229125977,-19.792444229125977,-13.530383110046387,8.209939002990723,19.79244613647461,-19.79244613647461,22,459,,,,,,,,,,,,,
-13.53038215637207,7.525730133056641,20.31028938293457,-20.31028938293457,-13.530383110046387,8.127838134765625,20.310291290283203,-20.310291290283203,23,479,,,,,,,,,,,,,
,,32.61466598510742,,,,,,24,499,,,,,,,,,-21.916217803955078,10.698446273803711,-32.61466598510742,-32.61466598510742,13.252391815185547
-13.53038215637207,7.540034770965576,18.77375030517578,-18.77375030517578,-13.530383110046387,8.139578819274902,18.77375030517578,-18.77375030517578,24,499,,,,,,,,,,,,,
-13.53038215637207,8.072089195251465,17.131717681884766,-17.131717681884766,-13.530383110046387,8.78814697265625,17.1317195892334,-17.1317195892334,25,519,,,,,,,,,,,,,
-13.53038215637207,7.552909851074219,18.28300666809082,-18.28300666809082,-13.530383110046387,8.137877464294434,18.28300666809082,-18.28300666809082,26,539,,,,,,,,,,,,,
,,31.335824966430664,,,,,,27,549,,,,,,,,,-21.472822189331055,9.863007545471191,-31.335824966430664,-31.335824966430664,8.760252952575684
-13.53038215637207,7.518195629119873,19.343585968017578,-19.343585968017578,-13.530383110046387,8.108742713928223,19.34358787536621,-19.34358787536621,27,559,,,,,,,,,,,,,
-13.53038215637207,7.382011413574219,19.040061950683594,-19.040061950683594,-13.530383110046387,8.046040534973145,19.040063858032227,-19.040063858032227,28,579,,,,,,,,,,,,,
,,29.183490753173828,,,,,,29,599,,,,,,,,,-20.16786003112793,9.015633583068848,-29.183490753173828,-29.183490753173828,13.542963981628418
-13.53038215637207,7.5456624031066895,18.15940284729004,-18.15940284729004,-13.530383110046387,8.09613037109375,18.159404754638672,-18.159404754638672,29,599,,,,,,,,,,,,,
-13.53038215637207,7.547665119171143,19.421613693237305,-19.421613693237305,-13.530383110046387,8.0210542678833,19.421615600585938,-19.421615600585938,30,619,,,,,,,,,,,,,
-13.53038215637207,7.536888599395752,18.383983612060547,-18.383983612060547,-13.530383110046387,8.154400825500488,18.38398551940918,-18.38398551940918,31,639,39.449195861816406,0.019046783447265625,-12.422929763793945,-1.0696516036987305,39.449195861816406,0.019046783447265625,-12.422929763793945,-1.0696516036987305,,,,,
,,28.082860946655273,,,,,,32,649,,,,,,,,,-18.928558349609375,9.154303550720215,-28.082860946655273,-28.082860946655273,8.781673431396484
-13.53038215637207,7.409954071044922,20.607707977294922,-20.607707977294922,-13.530383110046387,8.018199920654297,20.60770606994629,-20.60770606994629,32,659,,,,,,,,,,,,,
-13.53038215637207,7.4512481689453125,17.65276336669922,-17.65276336669922,-13.530383110046387,7.988063812255859,17.65276527404785,-17.65276527404785,33,679,,,,,,,,,,,,,
,,30.677230834960938,,,,,,34,699,,,,,,,,,-21.31353759765625,9.363693237304688,-30.677230834960938,-30.677230834960938,13.239681243896484
-13.53038215637207,7.577991008758545,19.63694190979004,-19.63694190979004,-13.530383110046387,8.136680603027344,19.636943817138672,-19.636943817138672,34,699,,,,,,,,,,,,,
-13.53038215637207,7.487297534942627,18.382490158081055,-18.382490158081055,-13.530383110046387,8.13005256652832,18.382488250732422,-18.382488250732422,35,719,,,,,,,,,,,,,
-13.53038215637207,7.520961761474609,18.403156280517578,-18.403156280517578,-13.530383110046387,8.13161849975586,18.403154373168945,-18.403154373168945,36,739,,,,,,,,,,,,,
,,30.107595443725586,,,,,,37,749,,,,,,,,,-20.608774185180664,9.498825073242188,-30.107595443725586,-30.107595443725586,8.828704833984375
-13.53038215637207,7.358646392822266,19.284761428833008,-19.284761428833008,-13.530383110046387,7.963775634765625,19.284759521484375,-19.284759521484375,37,759,,,,,,,,,,,,,
-13.53038215637207,7.5206756591796875,18.443191528320312,-18.443191528320312,-13.530383110046387,8.151715278625488,18.44318962097168,-18.44318962097168,38,779,,,,,,,,,,,,,
,,31.395479202270508,,,,,,39,799,,,,,,,,,-22.376609802246094,9.018869400024414,-31.395479202270508,-31.395479202270508,13.518421173095703
-13.53038215637207,8.309746742248535,18.175128936767578,-18.175128936767578,-13.530383110046387,8.857014656066895,18.175128936767578,-18.175128936767578,39,799,,,,,,,,,,,,,
-13.53038215637207,7.897186756134033,19.22895050048828,-19.22895050048828,-13.530383110046387,8.598076820373535,19.22894859313965,-19.22894859313965,40,819,,,,,,,,,,,,,
-13.53038215637207,7.4232096672058105,18.77679443359375,-18.77679443359375,-13.530383110046387,8.029674530029297,18.77679443359375,-18.77679443359375,41,839,141.38128662109375,0.01780235767364502,-12.349981307983398,-1.1425989866256714,141.38128662109375,0.01780235767364502,-12.349981307983398,-1.1425989866256714,,,,,
,,32.11029815673828,,,,,,42,849,,,,,,,,,-22.391551971435547,9.718746185302734,-32.11029815673828,-32.11029815673828,9.391922950744629
-13.53038215637207,7.678318023681641,18.252918243408203,-18.252918243408203,-13.530383110046387,8.310059547424316,18.252918243408203,-18.252918243408203,42,859,,,,,,,,,,,,,
-13.53038215637207,7.521914958953857,19.047306060791016,-19.047306060791016,-13.530383110046387,8.086134910583496,19.047304153442383,-19.047304153442383,43,879,,,,,,,,,,,,,
