log_prob_true,time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,time_forward
-4.454781532287598,9.66653823852539,5.417046546936035,-5.417046546936035,9.66653823852539,5.417046546936035,-5.417046546936035,0.0,0.0,0,4,,,,,,,
-4.454781532287598,3.9431569576263428,5.38380241394043,-5.38380241394043,3.943157196044922,5.38380241394043,-5.38380241394043,,,1,9,22.756195068359375,0.0032596588134765625,-6.507704734802246,2.4404542446136475,22.756195068359375,0.0032596588134765625,
-4.454781532287598,13.915252685546875,5.3556599617004395,-5.3556599617004395,13.915252685546875,5.3556599617004395,-5.3556599617004395,,,2,14,,,,,,,
-4.454781532287598,9.462928771972656,5.331757068634033,-5.331757068634033,9.462928771972656,5.331757068634033,-5.331757068634033,,,3,19,,,,,,,
-4.454781532287598,11.74774169921875,5.310859203338623,-5.310859203338623,11.74774169921875,5.310859203338623,-5.310859203338623,,,4,24,,,,,,,
-4.454781532287598,12.401008605957031,5.2924323081970215,-5.2924323081970215,12.401008605957031,5.2924323081970215,-5.2924323081970215,0.0,0.0,5,29,,,,,,,
-4.454781532287598,5.3340911865234375,5.275350093841553,-5.275350093841553,5.3340911865234375,5.275350093841553,-5.275350093841553,,,6,34,,,,,,,
-4.454781532287598,13.40036392211914,5.2592058181762695,-5.2592058181762695,13.40036392211914,5.2592058181762695,-5.2592058181762695,,,7,39,,,,,,,
-4.454781532287598,7.8830718994140625,5.243642330169678,-5.243642330169678,7.8830718994140625,5.243642330169678,-5.243642330169678,,,8,44,,,,,,,
,,5.63939094543457,-5.63939094543457,,,,,,9,49,,,,,,,3.2102465629577637
-4.454781532287598,13.621712684631348,5.2284417152404785,-5.2284417152404785,13.621711730957031,5.2284417152404785,-5.2284417152404785,,,9,49,,,,,,,
-4.454781532287598,6.819629669189453,5.21348762512207,-5.21348762512207,6.819629669189453,5.21348762512207,-5.21348762512207,0.0,0.0,10,54,,,,,,,
-4.454781532287598,9.277057647705078,5.19831657409668,-5.19831657409668,9.277057647705078,5.19831657409668,-5.19831657409668,,,11,59,33.379173278808594,0.0011012554168701172,-6.8576154708862305,2.379473924636841,33.379173278808594,0.0011012554168701172,
-4.454781532287598,7.411957263946533,5.182735443115234,-5.182735443115234,7.411956787109375,5.182735443115234,-5.182735443115234,,,12,64,,,,,,,
-4.454781532287598,12.351226806640625,5.166174411773682,-5.166174411773682,12.351226806640625,5.166174411773682,-5.166174411773682,,,13,69,,,,,,,
