log_prob_true,time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,time_forward
-5.606074810028076,3.9086344242095947,8.45479965209961,-8.45479965209961,3.9086341857910156,8.45479965209961,-8.45479965209961,0.0,nan,0,4,,,,,,,
-5.606074810028076,3.1630516052246094,8.416116714477539,-8.416116714477539,3.1630516052246094,8.416116714477539,-8.416116714477539,,,1,9,39.029598236083984,0.004199862480163574,-70.94869232177734,65.26746368408203,39.029598236083984,0.004199862480163574,
-5.606074810028076,7.390594482421875,8.37751293182373,-8.37751293182373,7.390594482421875,8.37751293182373,-8.37751293182373,,,2,14,,,,,,,
-5.606074810028076,6.015491485595703,8.336627960205078,-8.336627960205078,6.015491485595703,8.336627960205078,-8.336627960205078,,,3,19,,,,,,,
-5.606074810028076,4.589939117431641,8.29157829284668,-8.29157829284668,4.589939117431641,8.29157829284668,-8.29157829284668,,,4,24,,,,,,,
-5.606074810028076,9.851455688476562,8.2407865524292,-8.2407865524292,9.851455688476562,8.2407865524292,-8.2407865524292,0.0,nan,5,29,,,,,,,
-5.606074810028076,10.802364349365234,8.183146476745605,-8.183146476745605,10.802364349365234,8.183146476745605,-8.183146476745605,,,6,34,,,,,,,
-5.606074810028076,5.4027557373046875,8.118744850158691,-8.118744850158691,5.4027557373046875,8.118744850158691,-8.118744850158691,,,7,39,,,,,,,
-5.606074810028076,4.609107971191406,8.048555374145508,-8.048555374145508,4.609107971191406,8.048555374145508,-8.048555374145508,,,8,44,,,,,,,
,,5.225239276885986,-5.225239276885986,,,,,,9,49,,,,,,,3.603994846343994
-5.606074810028076,13.117790222167969,7.9744157791137695,-7.9744157791137695,13.117790222167969,7.9744157791137695,-7.9744157791137695,,,9,49,,,,,,,
-5.606074810028076,8.572959899902344,7.897828102111816,-7.897828102111816,8.572959899902344,7.897828102111816,-7.897828102111816,0.0,nan,10,54,,,,,,,
-5.606074810028076,11.954116821289062,7.81843900680542,-7.81843900680542,11.954116821289062,7.81843900680542,-7.81843900680542,,,11,59,25.653934478759766,0.0027600526809692383,-51.0451545715332,45.09796142578125,25.653934478759766,0.0027600526809692383,
-5.606074810028076,9.154033660888672,7.734009265899658,-7.734009265899658,9.154033660888672,7.734009265899658,-7.734009265899658,,,12,64,,,,,,,
-5.606074810028076,10.896015167236328,7.642367362976074,-7.642367362976074,10.896015167236328,7.642367362976074,-7.642367362976074,,,13,69,,,,,,,
-5.606074810028076,9.535408020019531,7.543868541717529,-7.543868541717529,9.535408020019531,7.543868541717529,-7.543868541717529,,,14,74,,,,,,,
-5.606074810028076,9.89828109741211,7.440484523773193,-7.440484523773193,9.89828109741211,7.440484523773193,-7.440484523773193,0.0,nan,15,79,,,,,,,
-5.606074810028076,10.012435913085938,7.333849906921387,-7.333849906921387,10.012435913085938,7.333849906921387,-7.333849906921387,,,16,84,,,,,,,
-5.606074810028076,10.221385955810547,7.224302291870117,-7.224302291870117,10.221385955810547,7.224302291870117,-7.224302291870117,,,17,89,,,,,,,
-5.606074810028076,5.407619476318359,7.1121931076049805,-7.1121931076049805,5.407619476318359,7.1121931076049805,-7.1121931076049805,,,18,94,,,,,,,
,,4.287186145782471,-4.287186145782471,,,,,,19,99,,,,,,,1.2119412422180176
-5.606074810028076,12.233448028564453,6.99970006942749,-6.99970006942749,12.233448028564453,6.99970006942749,-6.99970006942749,,,19,99,,,,,,,
-5.606074810028076,11.875724792480469,6.889359474182129,-6.889359474182129,11.875724792480469,6.889359474182129,-6.889359474182129,0.0,nan,20,104,,,,,,,
-5.606074810028076,14.97344970703125,6.7833685874938965,-6.7833685874938965,14.97344970703125,6.7833685874938965,-6.7833685874938965,,,21,109,28.169918060302734,0.0039511919021606445,-16.817733764648438,10.82923698425293,28.169918060302734,0.0039511919021606445,
-5.606074810028076,9.382915496826172,6.684722423553467,-6.684722423553467,9.382915496826172,6.684722423553467,-6.684722423553467,,,22,114,,,,,,,
-5.606074810028076,11.837959289550781,6.595036506652832,-6.595036506652832,11.837959289550781,6.595036506652832,-6.595036506652832,,,23,119,,,,,,,
-5.606074810028076,12.151241302490234,6.515414237976074,-6.515414237976074,12.151241302490234,6.515414237976074,-6.515414237976074,,,24,124,,,,,,,
-5.606074810028076,12.421894073486328,6.442964553833008,-6.442964553833008,12.421894073486328,6.442964553833008,-6.442964553833008,0.0,nan,25,129,,,,,,,
-5.606074810028076,12.851524353027344,6.376856803894043,-6.376856803894043,12.851524353027344,6.376856803894043,-6.376856803894043,,,26,134,,,,,,,
-5.606074810028076,12.513542175292969,6.31590461730957,-6.31590461730957,12.513542175292969,6.31590461730957,-6.31590461730957,,,27,139,,,,,,,
-5.606074810028076,12.906265258789062,6.260056018829346,-6.260056018829346,12.906265258789062,6.260056018829346,-6.260056018829346,,,28,144,,,,,,,
,,3.481168746948242,-3.481168746948242,,,,,,29,149,,,,,,,2.467334270477295
-5.606074810028076,12.262248992919922,6.209228992462158,-6.209228992462158,12.262248992919922,6.209228992462158,-6.209228992462158,,,29,149,,,,,,,
-5.606074810028076,8.94002914428711,6.1647138595581055,-6.1647138595581055,8.94002914428711,6.1647138595581055,-6.1647138595581055,0.0,nan,30,154,,,,,,,
-5.606074810028076,10.463523864746094,6.126427173614502,-6.126427173614502,10.463523864746094,6.126427173614502,-6.126427173614502,,,31,159,32.76338577270508,0.00022280216217041016,-7.488981246948242,1.6550124883651733,32.76338577270508,0.00022280216217041016,
