log_prob_true,time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,log_px_z,kl_z,elbo,objective,time_forward
-4.454781532287598,18.06831169128418,14.10326099395752,-14.10326099395752,19.549551010131836,14.103262901306152,-14.103262901306152,0,19,,,,,,,,,,,
-4.454781532287598,18.718814849853516,10.928570747375488,-10.928570747375488,20.55841636657715,10.928570747375488,-10.928570747375488,1,39,55.59902572631836,0.028611183166503906,-4.311213970184326,-0.14876222610473633,55.59902572631836,0.028611183166503906,,,,,
,,18.51909065246582,,,,,2,49,,,,,,,-12.496261596679688,6.022830009460449,-18.51909065246582,-18.51909065246582,22.273977279663086
-4.454781532287598,18.701841354370117,9.791047096252441,-9.791047096252441,20.526235580444336,9.791048049926758,-9.791048049926758,2,59,,,,,,,,,,,
-4.454781532287598,16.62454605102539,9.14242172241211,-9.14242172241211,18.248699188232422,9.142422676086426,-9.142422676086426,3,79,,,,,,,,,,,
,,17.16485023498535,,,,,4,99,,,,,,,-11.02453327178955,6.140315532684326,-17.16485023498535,-17.16485023498535,27.13106918334961
-4.454781532287598,17.026901245117188,8.9872465133667,-8.9872465133667,18.614736557006836,8.9872465133667,-8.9872465133667,4,99,,,,,,,,,,,
-4.454781532287598,19.50235366821289,8.880683898925781,-8.880683898925781,21.41999053955078,8.880683898925781,-8.880683898925781,5,119,,,,,,,,,,,
-4.454781532287598,29.49657440185547,8.783513069152832,-8.783513069152832,29.997827529907227,8.783513069152832,-8.783513069152832,6,139,,,,,,,,,,,
,,16.670406341552734,,,,,7,149,,,,,,,-10.718209266662598,5.952197551727295,-16.670406341552734,-16.670406341552734,28.17576789855957
-4.454781532287598,18.254470825195312,8.723915100097656,-8.723915100097656,19.97339630126953,8.723916053771973,-8.723916053771973,7,159,,,,,,,,,,,
-4.454781532287598,21.126174926757812,8.591657638549805,-8.591657638549805,22.098546981811523,8.591657638549805,-8.591657638549805,8,179,,,,,,,,,,,
,,15.948936462402344,,,,,9,199,,,,,,,-9.872855186462402,6.076080322265625,-15.948936462402344,-15.948936462402344,26.559127807617188
-4.454781532287598,17.679309844970703,8.952747344970703,-8.952747344970703,19.654714584350586,8.952747344970703,-8.952747344970703,9,199,,,,,,,,,,,
-4.454781532287598,21.529577255249023,9.343565940856934,-9.343565940856934,22.031227111816406,9.343565940856934,-9.343565940856934,10,219,,,,,,,,,,,
