log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,time_forward
-13.530383110046387,1.1819839477539062,15.014785766601562,-15.014785766601562,-13.530383110046387,1.1819839477539062,15.014785766601562,-15.014785766601562,0.0,0.0,0,4,,,,,,,,,
-13.530383110046387,1.2492179870605469,14.909384727478027,-14.909384727478027,-13.530383110046387,1.2492179870605469,14.909384727478027,-14.909384727478027,,,1,9,39.1291618347168,0.001227259635925293,nan,nan,39.1291618347168,0.001227259635925293,nan,nan,
-13.530383110046387,1.3869285583496094,14.81879997253418,-14.81879997253418,-13.530383110046387,1.3869285583496094,14.81879997253418,-14.81879997253418,,,2,14,,,,,,,,,
-13.530383110046387,2.480792999267578,14.7402925491333,-14.7402925491333,-13.530383110046387,2.480792999267578,14.7402925491333,-14.7402925491333,,,3,19,,,,,,,,,
-13.530383110046387,1.4965057373046875,14.671825408935547,-14.671825408935547,-13.530383110046387,1.4965057373046875,14.671825408935547,-14.671825408935547,,,4,24,,,,,,,,,
-13.530383110046387,2.87933349609375,14.610725402832031,-14.610725402832031,-13.530383110046387,2.87933349609375,14.610725402832031,-14.610725402832031,0.0,0.0,5,29,,,,,,,,,
-13.530383110046387,1.3243675231933594,14.55566120147705,-14.55566120147705,-13.530383110046387,1.3243675231933594,14.55566120147705,-14.55566120147705,,,6,34,,,,,,,,,
-13.530383110046387,1.2894630432128906,14.505144119262695,-14.505144119262695,-13.530383110046387,1.2894630432128906,14.505144119262695,-14.505144119262695,,,7,39,,,,,,,,,
-13.530383110046387,1.5340805053710938,14.458403587341309,-14.458403587341309,-13.530383110046387,1.5340805053710938,14.458403587341309,-14.458403587341309,,,8,44,,,,,,,,,
,,9.457831382751465,-9.457831382751465,,,,,,,9,49,,,,,,,,,2.384483814239502
-13.530383110046387,2.8702735900878906,14.414640426635742,-14.414640426635742,-13.530383110046387,2.8702735900878906,14.414640426635742,-14.414640426635742,,,9,49,,,,,,,,,
-13.530383110046387,2.9387474060058594,14.37370777130127,-14.37370777130127,-13.530383110046387,2.9387474060058594,14.37370777130127,-14.37370777130127,0.0,0.0,10,54,,,,,,,,,
-13.530383110046387,1.2070655822753906,14.335481643676758,-14.335481643676758,-13.530383110046387,1.2070655822753906,14.335481643676758,-14.335481643676758,,,11,59,36.71541213989258,0.0005173683166503906,nan,nan,36.71541213989258,0.0005173683166503906,nan,nan,
-13.530383110046387,1.3237953186035156,14.299637794494629,-14.299637794494629,-13.530383110046387,1.3237953186035156,14.299637794494629,-14.299637794494629,,,12,64,,,,,,,,,
-13.530383110046387,1.2436866760253906,14.26625919342041,-14.26625919342041,-13.530383110046387,1.2436866760253906,14.26625919342041,-14.26625919342041,,,13,69,,,,,,,,,
-13.530383110046387,3.8682937622070312,14.235143661499023,-14.235143661499023,-13.530383110046387,3.8682937622070312,14.235143661499023,-14.235143661499023,,,14,74,,,,,,,,,
-13.530383110046387,4.099178314208984,14.206331253051758,-14.206331253051758,-13.530383110046387,4.099178314208984,14.206331253051758,-14.206331253051758,0.0,0.0,15,79,,,,,,,,,
-13.530383110046387,1.2995719909667969,14.179325103759766,-14.179325103759766,-13.530383110046387,1.2995719909667969,14.179325103759766,-14.179325103759766,,,16,84,,,,,,,,,
-13.530383110046387,2.9108047485351562,14.154182434082031,-14.154182434082031,-13.530383110046387,2.9108047485351562,14.154182434082031,-14.154182434082031,,,17,89,,,,,,,,,
-13.530383110046387,3.2834055423736572,14.130362510681152,-14.130362510681152,-13.530383110046387,3.283405303955078,14.130362510681152,-14.130362510681152,,,18,94,,,,,,,,,
,,9.137835502624512,-9.137835502624512,,,,,,,19,99,,,,,,,,,0.9828805923461914
-13.530383110046387,1.2784004211425781,14.108050346374512,-14.108050346374512,-13.530383110046387,1.2784004211425781,14.108050346374512,-14.108050346374512,,,19,99,,,,,,,,,
-13.530383110046387,2.6543617248535156,14.087067604064941,-14.087067604064941,-13.530383110046387,2.6543617248535156,14.087067604064941,-14.087067604064941,0.0,0.0,20,104,,,,,,,,,
-13.530383110046387,2.6060104370117188,14.06737995147705,-14.06737995147705,-13.530383110046387,2.6060104370117188,14.06737995147705,-14.06737995147705,,,21,109,34.01660919189453,0.00029349327087402344,nan,nan,34.01660919189453,0.00029349327087402344,nan,nan,
-13.530383110046387,1.4302253723144531,14.0488920211792,-14.0488920211792,-13.530383110046387,1.4302253723144531,14.0488920211792,-14.0488920211792,,,22,114,,,,,,,,,
-13.530383110046387,5.324459075927734,14.031548500061035,-14.031548500061035,-13.530383110046387,5.324459075927734,14.031548500061035,-14.031548500061035,,,23,119,,,,,,,,,
-13.530383110046387,1.2115478515625,14.015257835388184,-14.015257835388184,-13.530383110046387,1.2115478515625,14.015257835388184,-14.015257835388184,,,24,124,,,,,,,,,
-13.530383110046387,1.2898445129394531,14.00009822845459,-14.00009822845459,-13.530383110046387,1.2898445129394531,14.00009822845459,-14.00009822845459,0.0,0.0,25,129,,,,,,,,,
-13.530383110046387,1.3733863830566406,13.985809326171875,-13.985809326171875,-13.530383110046387,1.3733863830566406,13.985809326171875,-13.985809326171875,,,26,134,,,,,,,,,
-13.530383110046387,1.4148712158203125,13.972230911254883,-13.972230911254883,-13.530383110046387,1.4148712158203125,13.972230911254883,-13.972230911254883,,,27,139,,,,,,,,,
